	ERR030886	ERR030873	ERR030877	ERR030878	ERR030879	ERR030872	ERR030880	ERR030881	ERR030882	ERR030883	ERR030884	ERR030885	ERR030887	ERR030875	ERR030876	ERR030874
A1BG	0.36494	0.67942	1.27316	1.79085	1.92324	1.21461	1.1916	2.10368	0.75191	0.45499	1.36033	0.78699	305.67455	1.77709	0.24473	0.60571
A1BG-AS1	0.24524	0.08366	0.1421	0.88579	0.60165	0.51507	0.41654	1.21896	0.39509	0.26646	0.28168	0.35665	5.86813	0.64045	0.0	0.42349
A1CF	0.00116	0.01687	0.0	0.0	0.0	0.01506	0.00469	0.01512	0.02744	0.01254	0.77075	4.02266	28.21358	0.0	0.02169	0.0
A2LD1	0.51206	2.1732	0.89309	0.6482	0.11162	1.56557	0.70489	1.55498	0.73589	1.4561	0.55223	2.81764	2.12336	2.47684	0.40732	0.707
A2M	348.5347	190.59602	360.92322	370.6589	1368.2951	89.691	447.26553	357.09068	40.9528	242.75266	464.56181	237.66922	1000.28951	0.84564	69.32994	147.10473
A2ML1	0.01229	0.50002	0.10206	0.07705	0.02495	0.06536	0.20481	0.01074	1.05301	0.06606	0.0391	0.05824	0.0	0.00094	0.0	0.12147
A4GALT	13.11733	8.70988	16.35948	14.52255	22.07293	6.84085	22.49369	18.5624	1.39997	8.55054	18.72184	19.93576	0.65861	0.0889	8.25913	8.19367
A4GNT	0.0	0.02134	0.02254	0.0	0.10889	0.02701	0.0836	0.0	0.0	0.01106	0.0	0.12015	0.06369	0.0	0.0	0.04726
AA06	0.0	0.40567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAA1	0.0107	0.01021	0.0	0.0	0.0	0.0	0.0	0.00302	0.01594	0.01582	0.00978	0.19977	0.0	0.0	0.05161	0.0
AAAS	8.95589	21.28888	15.70052	16.22397	8.12658	12.30183	9.81297	11.36235	5.46356	9.98308	7.91817	14.68734	7.05764	11.45557	13.26501	13.47143
AACS	4.66665	10.94564	4.95763	5.28542	3.49142	8.67459	6.45457	4.74158	8.75435	14.31885	4.56819	9.9864	1.83296	3.81912	1.44535	5.601
AACSP1	0.0	1.10256	0.0	0.0	0.0	0.0	0.0	0.0	0.03632	0.01802	0.0	0.3997	0.0	0.0	0.0	0.0
AADAC	0.06871	0.36124	0.57668	0.0	2.40155	0.0	7.32412	0.12719	0.00614	5.93198	0.10044	0.01262	198.72081	0.0	0.0	0.06192
AADACL2	0.0	0.29284	0.37259	0.55393	0.25232	0.01594	0.04029	0.02494	0.0	0.07833	0.64901	0.0	0.0	0.0	0.0	0.03867
AADACL3	0.0	0.01638	0.0	0.0	0.0	0.0	0.00249	0.0	0.0	0.20313	0.0	0.0	0.0	0.0	0.0	0.0
AADACL4	0.0	0.36835	0.19729	0.2093	0.0	0.0	0.0	0.0	0.0	0.04973	0.06401	0.74664	0.0	0.0	0.0	0.0
AADAT	0.98211	4.57186	4.61572	0.60495	0.77275	3.51158	0.79741	2.02697	4.62957	1.31219	1.28177	1.94053	4.81706	0.0	0.10249	2.91034
AAGAB	8.70689	19.72165	10.68289	11.47989	14.063	23.03211	13.00668	13.14476	16.58414	12.3932	10.12245	25.40291	8.74358	16.0946	16.22799	16.99107
AAK1	10.84975	3.46658	2.84601	4.26241	2.47421	5.4984	4.49139	3.4851	10.95384	3.50479	2.84972	6.32111	0.94661	7.70412	2.48132	4.05529
AAMP	23.20861	41.4648	45.19823	28.97587	33.40427	44.02355	40.14961	25.71029	22.36711	31.32597	35.37904	44.25835	22.3671	34.24063	33.22423	40.20947
AANAT	0.04745	0.45712	0.01526	0.0911	0.00457	0.03809	0.00269	0.37975	0.03375	0.01272	0.01927	0.0	0.01626	0.02318	0.02693	0.02146
AARS	26.53253	38.9895	35.32488	28.33867	31.46543	67.4401	55.63248	38.28467	100.94512	39.7412	41.40631	47.24316	26.12359	15.66286	130.69448	65.21164
AARS2	1.38519	2.23443	3.2318	2.53321	1.22184	2.04717	1.71894	3.15574	1.89425	1.7802	2.10524	3.74007	1.22527	2.11816	1.74077	3.90381
AARSD1	11.64544	18.40931	7.28717	3.85025	3.31762	10.23463	5.24777	7.52776	7.95914	6.46449	7.75655	4.72429	3.07566	2.21324	19.86981	8.38016
AASDH	1.97995	3.91958	4.25001	3.24789	1.42187	3.90695	1.54413	3.06326	3.2382	3.75388	1.9322	4.98247	1.42451	6.80831	1.37168	5.88771
AASDHPPT	20.48398	29.81889	15.7638	16.53725	9.78924	18.30911	12.50061	12.51185	56.2088	16.48575	13.42438	22.8026	13.76498	25.24179	14.46546	20.38874
AASS	10.43312	4.99966	7.18913	6.21532	4.98563	8.55708	8.29849	4.06474	6.24961	4.27585	4.78388	22.97227	21.74865	0.23414	1.6076	12.20813
AATF	12.46129	43.61474	22.18066	16.30655	15.06548	28.13315	40.19541	29.60351	18.02707	21.00845	41.2152	23.09809	8.106	33.62086	41.2447	33.55829
AATK	0.59557	0.60764	0.77038	1.15354	1.36843	0.92695	3.66612	0.48193	19.50569	0.26619	0.90979	0.17124	0.07859	2.94612	0.03813	0.32019
ABAT	3.32196	5.81926	3.60357	2.6169	1.23413	15.22958	0.84241	1.50217	50.33794	0.97714	2.67028	12.77911	101.45182	5.3752	0.28196	3.26219
ABCA1	2.86897	4.38987	11.41717	7.38057	8.29322	9.6378	26.38518	9.53546	2.70738	14.50099	11.34141	3.71214	27.04597	3.21359	7.73778	6.24248
ABCA10	1.03111	2.24179	2.0621	1.84234	0.70714	1.30539	2.08899	0.91717	0.55453	4.59346	1.47924	0.41213	0.25568	0.0	0.61706	2.92977
ABCA11P	2.21813	3.53407	3.24535	0.76201	1.78902	4.70521	1.30349	6.11006	3.29853	2.32914	1.18429	3.01541	0.71008	1.77374	0.65721	3.78192
ABCA12	0.00744	0.57339	0.02513	0.03455	0.00361	0.02638	0.02383	0.01089	0.06096	0.01686	0.14976	0.11862	0.0	0.0	0.0	0.00928
ABCA13	0.01368	0.28162	0.02974	0.01124	1.58159	0.71453	0.19048	0.0	0.0107	0.01538	0.01115	0.13553	0.07748	0.06915	0.0	0.26683
ABCA17P	0.03425	2.00991	0.13139	0.1455	0.00192	0.15913	0.04088	0.06244	0.16339	0.07715	0.09148	0.04829	0.0	0.0	0.11439	0.10749
ABCA2	4.31103	3.92894	3.70434	4.1608	2.16675	5.05157	3.00282	3.49456	52.57708	7.17563	4.27888	3.78084	2.06516	4.56668	4.66559	2.7878
ABCA3	1.80374	6.51988	2.4966	3.08256	14.23903	8.13628	6.43501	4.70197	13.67215	4.25188	2.94918	3.83197	0.26268	0.96086	3.00045	3.94224
ABCA4	0.04266	0.55998	0.13734	0.40276	0.03548	0.43015	0.12262	0.64719	0.36691	0.16372	0.11149	0.85056	0.12832	0.0	0.03591	0.23069
ABCA5	3.21232	5.22288	3.18408	2.28449	1.8368	4.06223	3.85523	1.92766	4.6889	9.49061	2.26487	5.88744	10.85202	0.67585	21.17822	3.8516
ABCA6	9.58475	2.36746	10.01195	5.73679	6.64612	2.41023	12.06187	1.11082	3.81014	6.09248	16.49664	2.13595	16.7385	0.09897	2.618	6.63784
ABCA7	0.81203	0.47391	0.6097	9.03819	2.54264	1.7631	1.73692	2.60099	0.65104	1.71258	0.34315	1.6693	0.30303	3.57306	1.16762	0.1383
ABCA8	21.1827	11.9652	16.70054	22.95547	10.12827	8.93784	19.35082	4.57518	8.49688	24.72317	36.71051	2.39832	2.56028	0.0	4.70876	33.80808
ABCA9	10.74792	6.1224	12.12419	9.92087	4.07244	3.58765	15.75707	2.10187	1.72641	10.33801	25.09436	0.7288	1.51395	0.06119	4.33072	7.75444
ABCB1	1.2913	3.37496	1.99941	3.25741	1.9734	1.5792	1.37313	3.21071	5.71967	1.1409	2.23161	14.8944	8.93956	4.5946	0.22751	3.4192
ABCB10	5.62046	3.71874	7.80896	7.30268	5.47376	4.85433	4.99069	4.6919	2.64857	5.7069	4.24557	7.02256	5.15477	8.30926	5.87	3.83365
ABCB11	0.05726	1.54646	0.05518	0.34518	0.0	0.0601	1.246	0.11948	0.03099	0.0164	0.02534	0.0	7.54224	0.0	0.0	0.00451
ABCB4	2.10765	0.29725	0.45932	1.11138	0.14795	0.37187	0.42906	1.47781	0.09202	0.40222	1.22773	0.17491	31.2917	1.02986	0.3315	0.09359
ABCB5	0.01428	0.87497	1.06462	0.1198	0.05316	0.02269	1.01429	0.00726	0.0	0.19624	0.34092	0.01573	0.00122	0.0	0.07901	0.01716
ABCB6	4.31654	12.46092	11.2295	5.56611	1.9814	11.05159	3.76471	6.06491	5.02078	9.66239	4.24699	11.63408	10.50728	0.73172	18.24891	10.58728
ABCB7	16.76206	7.27201	11.65309	7.69625	7.84923	13.11813	11.83866	9.3514	5.75302	10.23166	16.04771	9.07056	5.39586	11.74087	13.0907	9.26793
ABCB8	1.85986	2.61343	2.43523	3.34705	1.44333	3.33063	1.62831	2.82972	2.09284	2.92412	1.72421	5.21032	4.57025	2.44028	0.98495	3.84898
ABCB9	0.4518	4.1748	0.36624	0.58141	0.16597	0.49916	1.10232	1.28121	3.05134	0.83088	0.33853	1.05764	0.03744	0.09631	0.0881	1.92287
ABCC1	6.04165	19.61492	8.33946	9.99814	12.16098	19.61763	9.24266	10.51962	2.04683	8.33405	6.72597	5.3576	0.72144	11.32909	9.51966	8.82223
ABCC10	0.89889	1.9779	3.16584	3.3007	0.96352	1.89972	1.16609	3.28589	0.66109	1.5685	1.14213	2.43083	0.77929	2.83501	2.93571	3.80688
ABCC11	0.00482	1.64837	0.10294	0.07583	0.01466	0.01219	0.0044	0.01369	0.29813	0.31668	0.0	0.0	3.6926	0.0	0.0	0.00181
ABCC12	0.01281	1.15697	0.0	0.03693	0.00487	0.03702	0.02923	0.00362	0.23019	0.00379	0.0	0.0	0.00364	0.0	0.05453	0.0
ABCC13	0.0	0.0	0.03004	0.0	0.28675	0.1036	0.031	0.10236	0.01687	0.01674	0.05862	0.0	0.04449	0.0	0.0	0.02267
ABCC2	0.07432	0.41579	0.64855	1.02008	0.19256	0.49411	0.21754	0.94067	0.05469	0.24898	0.21186	9.6664	32.80141	0.20207	0.30983	0.28024
ABCC3	0.08664	1.03196	4.26169	4.52885	2.4721	1.42242	2.66437	10.27894	0.08262	4.39367	2.93162	8.80025	25.57488	7.03752	0.05819	2.04076
ABCC4	1.74077	6.94426	11.05255	3.44784	3.38558	2.78306	1.49481	3.28239	2.07697	0.90736	8.77536	12.5393	0.32015	3.63347	3.93231	7.5247
ABCC5	5.56548	5.20563	7.54474	4.26409	1.9884	4.07025	1.47127	2.38235	5.81103	2.68709	2.22895	10.58447	0.50839	2.51326	11.73808	3.69869
ABCC6	0.12219	0.28056	0.09892	0.08191	0.85965	0.47026	0.20555	0.10538	0.12007	5.59722	0.18751	3.13738	12.95915	0.3213	0.1549	0.17154
ABCC6P1	0.0	0.02434	0.01172	0.0	0.13937	0.01171	0.00739	0.0	0.02144	0.25507	0.0171	0.84667	4.30573	0.0	0.0	0.04868
ABCC6P2	0.09378	0.07044	0.0	0.0	0.22565	0.06775	0.0	0.06624	0.06987	0.2219	0.08568	0.35879	0.61245	0.0	0.0	0.0
ABCC8	0.2476	0.21284	0.66348	0.09759	0.43984	0.97289	0.03844	0.72085	2.58165	0.12242	0.21873	0.07731	0.02591	0.0	0.0	0.04328
ABCC9	30.72952	4.42254	9.06726	11.34771	7.53371	6.78258	24.4207	6.67499	4.98923	13.05481	12.09583	3.84723	13.46245	0.0	20.97354	6.70312
ABCD1	2.79711	7.82286	4.33446	2.19395	1.27668	3.45993	11.04223	3.80749	0.97758	6.24252	4.18865	2.84657	2.57759	5.83911	7.82985	3.79805
ABCD2	3.366	0.26125	0.6296	1.3104	0.53312	0.39221	2.93803	0.83769	4.7895	16.97285	0.2907	0.08404	0.0	4.53276	0.01759	0.7852
ABCD3	24.03571	18.15409	18.01952	7.36238	12.69298	20.17709	12.84217	8.60135	24.69852	19.40257	15.12616	45.69975	40.44044	14.88631	12.88953	17.32349
ABCD4	3.76088	4.6755	8.22951	12.9826	3.72697	7.66317	5.50919	16.23899	3.81634	6.0494	4.28285	10.4345	5.22003	4.47102	2.05767	5.94168
ABCE1	14.17384	22.66314	13.53217	10.14654	15.0081	18.85608	12.43574	18.72977	17.68125	14.28098	15.03634	15.95536	12.99513	16.14506	16.62109	20.78597
ABCF1	16.82944	34.42746	21.76136	19.45176	22.05602	35.82432	26.99344	27.90761	13.84757	18.61801	21.68761	26.26177	12.85991	24.25178	66.90801	23.2987
ABCF2	12.63619	12.27248	11.21724	9.68382	9.27092	13.04332	11.12653	11.50204	10.58879	8.7782	9.98581	12.7828	4.62429	12.44471	38.2362	15.26384
ABCF3	13.98359	17.82009	13.1554	14.25694	6.88316	24.53355	14.14141	16.90501	13.8817	14.22625	9.00464	18.53269	9.54125	12.22147	20.54738	16.4927
ABCG1	3.33069	3.10448	7.82633	12.67537	22.01845	14.07143	46.15181	14.12224	7.77197	4.69762	10.45283	4.70716	2.68508	6.5034	26.01231	3.97935
ABCG2	1.00608	3.32937	3.6952	3.20806	1.96813	2.3919	2.71833	2.78316	4.25385	1.97139	1.27873	2.68961	2.0696	0.13836	0.14844	5.20575
ABCG4	0.26404	1.14021	0.05478	0.07496	0.0	0.20092	0.01792	0.13829	2.05592	0.11197	0.06861	0.13132	0.02389	0.0	0.01432	0.2256
ABCG5	0.01901	0.07489	0.02191	0.00317	0.00918	0.02327	0.01103	0.017	0.06121	0.08934	0.0	0.09837	9.33107	0.01794	0.0	0.0513
ABCG8	0.00414	0.08086	0.0	0.0	0.0	0.0	0.0	0.01053	0.12624	0.00735	0.0	0.0076	16.91559	0.0	0.0	0.00187
ABHD1	0.45154	15.48628	0.37737	0.14916	0.04222	0.3558	0.18839	0.48878	0.2954	1.05847	0.05585	0.25907	0.30079	0.12333	0.28329	0.64415
ABHD10	20.24519	32.03402	15.32673	11.10955	8.17766	18.95541	7.66	14.41763	26.35609	14.54803	12.94833	22.22857	11.75359	19.29777	6.38925	19.31924
ABHD11	4.29496	3.26121	6.52927	1.64335	4.3514	16.15631	2.55113	5.01308	2.96212	4.66447	3.88455	11.25858	2.08484	2.95296	2.89665	3.75184
ABHD12	12.00096	18.77215	22.44891	11.74386	13.67731	48.08013	17.93536	12.05448	34.48597	13.05842	12.69176	24.64573	8.05934	11.59211	5.63084	15.16492
ABHD12B	0.02821	0.55413	0.23689	0.03843	1.30703	0.05953	0.18498	0.05399	1.49097	0.81926	0.48815	0.27037	0.17895	0.3343	0.02949	0.6996
ABHD13	4.39706	5.78232	5.66933	7.44299	7.48872	6.00138	5.89053	6.34536	6.40053	4.79175	5.92243	6.0853	4.36452	13.45995	3.0958	7.8187
ABHD14A	10.10399	12.66294	21.28073	13.64275	10.47748	9.19477	3.11329	10.5582	16.46437	10.30146	5.40502	7.88166	9.27337	11.08193	7.09705	11.88725
ABHD14B	4.09088	12.64982	41.79313	25.86235	23.68047	16.90642	35.24576	21.13347	2.44289	37.55612	26.02095	27.53346	37.3628	31.57637	7.7476	17.8416
ABHD15	2.65821	2.56319	4.04897	6.79719	2.12035	3.58814	7.83592	4.21921	1.50547	15.84877	2.84946	6.2187	6.70293	9.06068	1.24647	2.94463
ABHD16A	6.08485	17.61005	15.67579	12.07609	10.89268	10.64792	5.82086	8.89305	7.49506	6.71301	11.69144	13.98829	5.96545	13.46258	9.18541	10.02572
ABHD16B	0.77043	1.96716	1.02156	0.80029	1.18158	2.07297	1.66158	2.34016	0.55972	1.54889	0.70211	1.60908	0.42341	1.68425	0.17983	1.13401
ABHD2	25.76104	22.78891	12.9443	9.92706	26.09276	19.68339	42.39567	11.13493	21.59848	11.24904	10.68032	19.26134	55.46885	44.57101	4.67104	21.19863
ABHD3	2.63192	6.00638	7.69187	25.58815	9.17832	12.67558	3.60282	4.23524	4.97118	7.6982	8.00785	17.02364	21.79311	21.75151	1.26974	5.72963
ABHD4	7.41866	22.68328	27.19281	16.91863	18.86594	19.50326	21.99583	6.15832	5.04562	18.13354	16.43158	27.0704	9.56908	13.99797	8.95688	10.07687
ABHD5	11.74912	9.84227	6.25013	5.69188	8.52746	6.87357	28.45036	2.69388	6.79595	13.23887	7.69244	9.05844	3.7521	12.68914	4.13233	4.76728
ABHD6	3.57881	4.65596	7.65963	7.12759	2.8101	2.73399	5.25411	8.84424	12.37082	6.4349	8.8563	16.34913	38.87088	6.90192	1.90772	4.1606
ABHD8	2.83655	11.88402	4.89843	5.31767	3.2041	5.25407	3.96356	4.37347	10.52759	2.60557	6.31258	4.23639	7.20515	4.18398	3.7888	7.42876
ABI1	12.74099	18.04984	26.23092	26.77473	28.11696	21.65759	25.8543	23.32903	33.6996	22.4034	27.87206	23.0809	7.97944	51.35465	11.38822	22.46306
ABI2	17.13084	19.59133	16.17212	10.10146	13.10671	16.76457	7.63562	6.98886	40.73546	8.04914	15.91145	14.78902	1.96513	4.23305	2.55299	27.46332
ABI3	2.58089	1.29799	2.32036	5.99665	7.20113	3.01171	3.28908	15.25332	3.01677	2.89102	1.71017	6.07347	2.80386	31.09391	0.6601	3.25471
ABI3BP	9.90124	19.47527	30.74846	16.18397	58.70606	19.31616	8.76919	7.37341	3.27753	18.20543	30.22746	6.53831	1.06434	0.0	3.63986	18.70681
ABL1	10.43622	17.65664	42.25907	13.99699	23.39015	20.50645	31.8542	12.62757	8.81377	15.2481	37.05851	9.53268	3.63578	7.78264	10.25413	24.64856
ABL2	3.1498	3.92712	2.52245	3.66678	4.4873	3.25081	5.84846	5.79984	4.78403	3.11058	4.48362	2.38731	0.98831	2.31784	2.19947	3.96603
ABLIM1	236.02728	60.19327	30.58604	28.71853	24.69473	108.39479	108.63651	21.01404	33.0327	42.83983	65.66026	24.32669	7.58122	29.72307	19.52425	61.15689
ABLIM2	2.62987	1.68759	0.7945	2.4377	0.84633	14.72138	7.93391	2.12519	10.23577	3.07979	1.91908	4.75575	0.13886	0.16233	223.63062	0.44298
ABLIM3	48.90454	6.48148	19.0281	12.43085	10.37309	8.85487	85.93984	14.85156	5.8053	32.5147	29.08848	23.32402	43.40128	3.87915	17.55898	2.64497
ABO	1.479	2.0715	2.23248	0.12977	1.04894	10.10658	2.11764	0.16894	0.20619	0.3805	1.19617	15.60268	0.00643	0.0	0.58894	4.58573
ABP1	0.3454	4.0401	0.23347	0.38587	0.06561	0.19699	0.15763	0.30062	0.0	0.06856	5.97843	63.07728	0.39721	0.48957	0.0	0.03413
ABR	30.26965	9.39365	12.37512	13.66222	9.08715	5.3823	11.71853	12.16168	47.73142	9.75066	14.49542	7.98799	0.96323	20.79564	2.9175	15.15418
ABRA	84.66953	2.50737	0.35658	1.66949	0.59368	71.89452	0.0512	1.40615	0.05373	2.22908	0.09884	0.23547	0.0	0.0	28.3333	0.07908
ABT1	4.2918	8.71506	6.64613	9.60288	5.38799	8.97754	5.66258	14.88172	4.41522	5.55718	5.34461	5.90221	5.49381	18.26896	3.97987	9.55478
ABTB1	7.28021	8.0422	19.24091	22.31295	14.35999	7.10188	19.61489	12.1567	8.26633	11.32859	17.63611	5.9707	2.44441	52.38247	14.385	4.73404
ABTB2	3.43989	2.4653	2.21923	1.95486	1.06025	3.87172	0.46781	2.05904	1.87752	0.91664	0.85953	4.77856	2.04133	0.42943	3.65143	1.25154
ACAA1	35.50763	11.28021	27.80855	27.96984	20.23219	21.42622	17.27062	18.29228	20.04128	27.74974	10.94821	49.93573	140.48668	29.59613	8.25974	8.84563
ACAA2	136.47172	24.22931	34.30368	16.03527	15.09462	29.34801	49.68231	23.68139	17.8622	69.55895	36.88202	96.06871	264.65417	25.67048	17.72301	16.15769
ACACA	1.98859	7.03919	9.69966	3.14029	2.99247	4.25626	4.48459	3.69998	7.0083	12.82943	4.81823	3.66122	4.18801	2.26634	4.45946	9.06055
ACACB	23.23095	6.09034	11.47542	7.25159	1.24835	12.40947	76.0349	4.61834	2.13576	66.28925	9.89783	10.40992	22.46994	1.02115	74.9825	3.66776
ACAD10	6.38071	3.46977	4.59483	3.10649	1.16894	4.1123	1.89105	3.70542	1.74431	3.78877	1.91982	9.88353	4.25133	3.22678	2.47241	2.75306
ACAD11	11.4063	7.54863	7.58264	7.11416	5.59978	7.159	6.2448	6.88254	6.52861	11.85875	3.0779	21.75847	44.35253	1.19291	1.09096	10.73591
ACAD8	13.62932	7.68344	9.79721	8.24274	3.82459	33.71314	7.5126	6.37732	7.84773	7.74415	4.07255	19.4998	10.90405	6.09198	5.67407	7.38531
ACAD9	11.56956	11.19993	12.32606	9.38026	5.6164	13.86185	11.60126	9.99372	7.86594	17.72311	8.84422	14.18449	8.442	6.87496	16.42158	10.67367
ACADL	0.90368	3.70205	1.78585	1.36668	2.8529	31.57871	2.91362	0.55187	1.10044	9.54755	1.00415	11.84111	4.9913	0.0	2.91231	2.74909
ACADM	178.75244	40.53858	28.20698	14.90885	11.43556	40.37105	13.95933	14.01591	28.55806	54.96534	22.95099	56.65008	35.92888	19.42074	20.99151	26.28637
ACADS	24.20726	10.01549	8.0837	3.91503	3.73705	10.2526	18.53308	7.24288	3.06253	25.87677	9.76085	14.03245	48.85632	4.05784	29.51811	2.70039
ACADSB	26.21839	4.6596	8.26777	2.52973	3.15285	10.18489	3.41774	4.29576	9.68976	9.96243	4.43899	20.91724	82.6733	4.6554	4.13294	6.06511
ACADVL	372.79261	56.17917	104.52838	104.43712	97.19686	103.31231	110.3154	91.06514	33.22041	149.03102	76.35126	188.3576	199.02039	40.51283	156.15712	47.89399
ACAN	0.07235	1.26225	0.24656	0.80662	1.79262	0.32191	0.08203	0.72708	0.22847	0.06535	0.2372	2.11228	0.0	0.0	0.17214	0.3449
ACAP1	0.5321	2.81642	1.50588	56.41726	6.82445	1.3771	2.23397	33.1655	0.50847	1.12517	0.83904	0.68616	0.33184	29.79218	0.3824	1.25924
ACAP2	6.31022	10.74596	11.86007	13.60054	10.441	10.23397	16.8258	10.32801	10.0436	12.65056	10.08665	10.34996	4.02071	47.36112	3.73768	16.53726
ACAP3	4.24682	4.22609	9.3605	8.73707	3.00024	3.24343	2.61463	4.87687	8.74081	4.99375	4.67714	5.87332	2.09355	2.68063	4.47942	6.89907
ACAT1	187.78959	52.31358	40.68246	19.3763	19.91995	72.46887	55.78824	39.72249	34.8159	84.93869	45.85507	147.97728	302.27644	11.37389	111.13772	40.2433
ACAT2	3.42849	28.09911	10.11656	7.24939	14.67071	7.01562	8.01593	12.38008	38.26965	11.90824	8.69619	16.62655	66.58387	13.08428	3.20252	33.50155
ACBD3	15.69466	28.21644	20.15335	19.07933	27.18043	27.72919	40.7179	17.29813	18.45268	24.18672	22.99642	25.40383	10.45146	25.12269	20.93605	30.0361
ACBD4	0.67793	1.75823	6.13043	3.85169	2.2686	3.31865	2.13368	2.51921	1.90368	4.79295	3.0342	4.02055	9.63217	1.5383	1.06966	3.20763
ACBD5	31.79463	11.40298	8.34184	7.33128	5.74793	15.10047	11.75713	6.28297	24.65563	12.6641	8.45627	24.48338	10.91318	11.26175	11.54433	6.34722
ACBD6	9.36975	28.53645	14.76525	10.55208	6.8249	17.23922	15.02265	18.71142	12.5685	11.37209	8.22256	10.65428	4.29399	7.86038	6.30098	18.64665
ACBD7	0.06221	1.39615	0.2227	0.52256	0.68211	0.31461	0.12546	0.1471	40.08825	0.3719	0.13463	0.28395	0.10041	0.0	0.0	0.57545
ACCN1	0.0	0.08402	0.00374	0.0	0.01178	0.0	0.0	0.00438	3.215	0.04127	0.02597	0.40852	0.02641	0.0	0.0	0.03299
ACCN2	0.37701	0.93474	1.16903	0.61139	0.47848	0.32283	0.03759	1.10999	7.62891	1.34251	2.88615	0.38169	0.00995	0.04067	0.09945	1.4673
ACCN3	0.4194	1.39362	0.538	0.85928	0.44163	0.29649	0.17124	0.45995	1.77053	0.08582	0.40347	0.95287	0.13631	0.03873	0.30591	0.6391
ACCN4	0.0	0.07714	0.0633	0.0	0.05202	0.0	0.0	0.03308	0.5227	0.00675	0.00174	0.0	0.0	0.0446	0.0	0.00857
ACCN5	0.0	0.08817	0.0	0.0	0.0	0.0	0.0	0.0	0.01166	0.0	0.0	0.0	0.05555	0.0	0.0	0.0
ACCS	0.82426	1.37367	3.14589	1.02224	2.0728	2.35812	1.09626	3.37937	0.1688	3.58441	0.62378	1.94949	1.4138	0.44445	0.2569	1.98258
ACCSL	0.0	0.02277	0.0	0.0	0.00387	0.01752	0.01107	0.05139	0.0	0.02152	0.0	0.0	0.0	0.07997	0.0	0.04417
ACD	2.24675	8.9616	8.04998	7.117	4.30343	3.31193	4.94286	5.35889	2.94668	3.81169	5.0651	3.33623	0.81019	6.56746	4.03561	8.63424
ACE	2.7219	17.58659	4.29217	1.50609	15.18653	2.44359	2.23268	1.6709	0.69973	5.54798	1.57305	0.74551	0.52623	0.45396	1.00071	1.73469
ACE2	8.64736	29.30089	1.24803	0.61346	0.29163	1.73656	6.44595	0.14935	0.08434	0.59168	8.53154	8.51124	0.20193	0.0	0.65086	0.70888
ACER1	0.02028	0.28505	0.04403	0.61124	0.0	0.04396	0.0	0.03112	0.0	0.063	0.0278	0.05588	0.0	0.16351	0.0	0.09141
ACER2	2.02528	1.4459	10.39039	2.84269	0.91377	0.84618	13.66147	1.04058	0.57651	2.42982	5.50069	1.48625	0.23631	0.53246	0.28984	1.07353
ACER3	4.40655	11.04809	5.29746	6.37392	9.3923	3.50313	11.25747	8.01842	14.74726	19.80261	7.48457	9.41055	2.88279	10.38135	2.01271	7.49561
ACHE	0.32042	1.60222	1.33808	1.94629	1.44447	7.05173	0.28789	4.15752	3.72228	2.56747	3.86921	0.48896	0.52859	0.0	27.79746	1.25221
ACIN1	16.11908	35.85662	29.03957	29.27425	14.49839	20.11275	17.00193	27.01087	8.9674	16.88186	20.45807	22.39285	6.86511	23.57565	31.14071	31.50589
ACLY	10.89137	44.95501	26.29491	32.66153	25.91267	23.17672	47.45311	35.2736	31.50135	59.57178	29.85485	38.44729	14.26991	42.8297	10.80495	32.30476
ACMSD	0.0	0.12561	0.03895	0.03962	0.02176	0.15129	0.01045	0.078	0.04609	0.17465	0.07152	34.14956	73.68425	0.00699	0.0	0.10065
ACN9	7.67608	10.71984	6.57117	5.28431	3.053	5.50267	3.19841	5.01964	5.14627	5.99753	6.47952	10.59933	7.75102	7.08374	1.61299	4.57415
ACO1	34.33231	19.98471	20.86424	16.17987	12.48031	28.95412	65.52113	17.88694	8.12357	105.54961	22.30999	50.74051	55.31332	6.06821	19.45549	22.18613
ACO2	259.45179	26.07552	31.69847	20.03198	19.99981	59.65108	37.90498	24.45882	59.29672	53.9725	26.52664	67.10293	16.58541	26.40503	190.24044	18.31446
ACOT1	3.82731	0.39294	1.84862	0.30306	0.50213	0.57686	1.7278	1.07942	0.35696	6.10006	0.88681	2.77309	2.67227	0.19169	0.1465	1.1651
ACOT11	6.99156	0.79035	1.93252	0.51819	0.23065	4.14692	0.11889	0.64389	0.54768	0.31395	0.91321	9.46353	0.06729	0.23131	0.05008	1.43941
ACOT12	0.03329	0.02083	0.0	0.0	0.0	0.0	0.0	0.05643	0.01984	0.0	0.0	0.75384	16.17843	0.0	0.11334	0.025
ACOT13	10.65999	10.48758	7.06329	6.46875	4.28695	6.28595	6.95332	3.66415	6.41013	10.77039	7.87136	7.63148	14.79179	6.3987	5.33857	7.19565
ACOT2	19.92727	2.72482	8.41866	2.43775	2.78441	6.60193	10.05078	4.99411	3.37388	22.90328	4.59732	10.9113	15.24621	2.50035	5.99387	2.55141
ACOT4	0.58715	1.80139	0.81043	0.41462	0.81174	0.73972	1.08047	1.39837	2.0909	5.6138	0.50039	5.46042	11.07949	1.43509	0.00748	0.37192
