	ERR030886	ERR030873	ERR030877	ERR030878	ERR030879	ERR030872	ERR030880	ERR030881	ERR030882	ERR030883	ERR030884	ERR030885	ERR030887	ERR030875	ERR030876	ERR030874
TRIM15	0.0	0.01021	0.0	0.0	0.0	0.00717	0.0	0.0	0.0	0.0	0.49866	0.65587	1.38925	0.0	0.0	0.0
TRIM16	2.53447	2.5279	4.12603	3.43156	3.48394	9.00697	5.25914	3.54861	2.06918	6.29931	5.04766	4.17973	0.34955	0.83978	1.62546	1.71627
TRIM16L	1.3306	1.09474	3.26288	0.91477	1.09566	6.77801	1.07687	0.7574	1.40599	5.49955	2.37044	3.84795	1.32668	0.33454	2.3981	1.15614
TRIM17	0.05995	4.33993	0.40728	0.19193	0.37474	0.80078	0.02728	0.07363	1.06902	0.21474	0.01552	0.24265	0.0	0.03814	0.0	1.53797
TRIM2	4.12604	6.6161	14.08296	4.55827	5.80691	16.56505	2.98289	5.09705	98.7421	7.404	13.187	27.70017	3.54619	0.57076	1.24598	12.76879
TRIM21	4.34492	4.27876	9.40828	10.46796	8.75966	5.48125	4.46645	10.47629	1.596	6.27083	4.60165	9.49921	5.37662	47.78383	2.12799	10.20661
TRIM22	20.9983	12.59864	23.55756	89.52825	42.51501	9.83813	12.45956	31.78977	4.52679	14.44266	14.1774	11.75714	3.27212	106.45739	4.17264	27.78073
TRIM23	7.60352	10.89202	9.9746	4.8073	3.93932	8.20719	5.05653	3.57391	22.7678	6.33355	9.41227	6.08462	2.50816	6.77248	8.73227	7.0039
TRIM24	7.27281	19.49915	6.78934	4.10768	4.06477	7.27027	10.01686	6.93377	7.48756	6.09071	5.23142	10.15905	7.48159	9.65783	13.88038	33.78197
TRIM25	3.59558	3.81612	5.68632	17.83677	7.68232	7.59998	6.77833	13.5258	3.09337	8.53474	5.04896	9.05132	17.06466	20.56174	3.97915	11.12598
TRIM26	7.43221	16.30449	12.98699	15.32884	10.01968	15.38244	11.25222	19.81698	7.41064	11.83061	9.7727	21.20028	12.51153	24.65001	9.67492	16.43842
TRIM27	7.3029	11.78469	19.98704	25.40818	15.14404	13.51382	9.69492	16.35136	9.4391	10.85503	8.25887	21.63315	15.51227	29.36921	7.90369	20.54449
TRIM28	23.21732	74.38568	61.46354	57.90507	37.31893	46.14338	38.01605	47.71002	21.07216	31.35251	63.35035	37.52192	13.74002	48.81926	79.27228	82.88528
TRIM29	0.02193	4.44152	18.71846	0.16091	8.92356	0.37759	1.32768	0.05267	0.29215	15.16923	0.2538	1.03035	0.02491	0.0	0.02178	1.36326
TRIM3	2.05357	2.65452	5.86141	3.82804	3.01463	2.02242	2.60042	2.8486	4.95045	2.48247	3.39534	3.47943	1.19377	1.2433	5.05997	3.53294
TRIM31	0.02243	0.98776	3.48389	0.0428	0.52318	0.15935	0.08447	0.0036	0.0	0.02724	0.28769	0.06958	0.04637	0.04787	0.0	0.09673
TRIM32	4.70018	6.89211	6.02357	4.84146	2.56762	4.11817	3.26118	3.91671	2.7859	4.12834	4.26854	4.92598	0.88639	5.26828	13.87875	8.04772
TRIM33	6.18831	16.17671	10.40062	6.20924	5.14582	9.10566	6.60699	9.57813	10.83913	7.33106	7.38738	9.48622	3.03051	15.39908	6.00728	13.46797
TRIM34	0.12918	0.09096	0.15384	0.0	0.09203	0.07388	0.04422	0.27831	0.02888	0.72242	0.04918	0.603	0.0	1.36873	0.0	0.39618
TRIM35	2.68905	6.58748	4.31948	7.56942	2.37632	4.72709	6.18769	5.91625	4.76055	5.96872	2.88454	7.30192	5.75086	8.68931	2.51067	6.49111
TRIM36	0.09474	45.31523	0.94698	0.22876	0.66069	0.1434	0.07412	0.2887	6.12076	0.56643	0.8263	0.65657	0.06725	0.63307	0.15745	1.44606
TRIM37	8.14964	33.16824	7.84698	6.89058	3.83305	7.97571	5.51026	6.21207	51.50562	5.62353	7.60386	7.4467	2.68526	5.8428	5.6209	9.84153
TRIM38	2.73952	4.87875	11.08686	10.91478	10.14684	7.62868	6.95188	11.31736	0.87162	5.41468	6.02668	18.99529	3.04138	28.65312	3.74567	6.80576
TRIM39	1.20523	2.86393	1.56707	1.42691	0.72374	1.38969	0.89266	2.11149	1.0592	0.62367	1.12622	0.61766	0.30731	1.75249	0.59619	1.25375
TRIM4	3.61789	10.00551	17.23919	14.98749	10.09235	16.58918	12.39241	11.84245	4.84491	8.5044	11.83277	8.95568	5.29349	19.21586	4.00616	28.38255
TRIM40	0.0	0.1859	0.0	0.0	0.01312	0.0	0.0	0.0	0.0	0.0	0.0	0.08985	0.0	0.57063	0.0	0.0
TRIM41	5.94765	13.05034	6.59809	8.41287	3.62551	12.17881	5.94176	7.36819	11.28226	7.52443	3.81595	9.06745	3.79854	8.08481	11.04776	6.23158
