og_00000115	entrez_gi:84514	official_symbol:GHDC
og_00000116	entrez_gi:92259	official_symbol:MRPS36
og_00000117	entrez_gi:283120	official_symbol:H19
og_00000118	entrez_gi:54549	official_symbol:SDK2
og_00000119	entrez_gi:2922	official_symbol:GRP
og_00000120	entrez_gi:286262	official_symbol:TPRN
og_00000121	entrez_gi:79875	official_symbol:THSD4
og_00000122	entrez_gi:51440	official_symbol:HPCAL4
og_00000123	entrez_gi:55901	official_symbol:THSD1
og_00000124	entrez_gi:7541	official_symbol:ZFP161
og_00000125	entrez_gi:64377	official_symbol:CHST8
og_00000126	entrez_gi:1287	official_symbol:COL4A5
og_00000127	entrez_gi:128872	official_symbol:HMGB3P1
og_00000128	entrez_gi:1285	official_symbol:COL4A3
og_00000129	entrez_gi:1284	official_symbol:COL4A2
og_00000130	entrez_gi:1282	official_symbol:COL4A1
og_00000131	entrez_gi:81168	official_symbol:OR8J3
og_00000132	entrez_gi:8534	official_symbol:CHST1
og_00000133	entrez_gi:9469	official_symbol:CHST3
og_00000134	entrez_gi:9435	official_symbol:CHST2
og_00000135	entrez_gi:23563	official_symbol:CHST5
og_00000136	entrez_gi:10164	official_symbol:CHST4
og_00000137	entrez_gi:56548	official_symbol:CHST7
og_00000138	entrez_gi:4166	official_symbol:CHST6
og_00000139	entrez_gi:3687	official_symbol:ITGAX
og_00000140	entrez_gi:2862	official_symbol:MLNR
og_00000141	entrez_gi:597	official_symbol:BCL2A1
og_00000142	entrez_gi:10268	official_symbol:RAMP3
og_00000143	entrez_gi:3141	official_symbol:HLCS
og_00000144	entrez_gi:9241	official_symbol:NOG
og_00000145	entrez_gi:3685	official_symbol:ITGAV
og_00000146	entrez_gi:10280	official_symbol:SIGMAR1
og_00000147	entrez_gi:8536	official_symbol:CAMK1
og_00000148	entrez_gi:3683	official_symbol:ITGAL
og_00000149	entrez_gi:3684	official_symbol:ITGAM
og_00000150	entrez_gi:3131	official_symbol:HLF
og_00000151	entrez_gi:4856	official_symbol:NOV
og_00000152	entrez_gi:3681	official_symbol:ITGAD
og_00000153	entrez_gi:3682	official_symbol:ITGAE
og_00000154	entrez_gi:79137	official_symbol:FAM134A
og_00000155	entrez_gi:100033447	official_symbol:SNORD115-10
og_00000156	entrez_gi:4093	official_symbol:SMAD9
og_00000157	entrez_gi:55809	official_symbol:TRERF1
og_00000158	entrez_gi:29904	official_symbol:EEF2K
og_00000159	entrez_gi:4043	official_symbol:LRPAP1
og_00000160	entrez_gi:4090	official_symbol:SMAD5
og_00000161	entrez_gi:4091	official_symbol:SMAD6
og_00000162	entrez_gi:4092	official_symbol:SMAD7
og_00000163	entrez_gi:55204	official_symbol:GOLPH3L
og_00000164	entrez_gi:4086	official_symbol:SMAD1
og_00000165	entrez_gi:4087	official_symbol:SMAD2
og_00000166	entrez_gi:51123	official_symbol:ZNF706
og_00000167	entrez_gi:80198	official_symbol:MUS81
og_00000168	entrez_gi:388428	official_symbol:AATK-AS1
og_00000169	entrez_gi:83607	official_symbol:AMMECR1L
og_00000170	entrez_gi:339967	official_symbol:TMPRSS11A
og_00000171	entrez_gi:132724	official_symbol:TMPRSS11B
og_00000172	entrez_gi:3482	official_symbol:IGF2R
og_00000173	entrez_gi:9407	official_symbol:TMPRSS11D
og_00000174	entrez_gi:389208	official_symbol:TMPRSS11F
og_00000175	entrez_gi:642569	official_symbol:TRIM53P
og_00000176	entrez_gi:253143	official_symbol:PRR14L
og_00000177	entrez_gi:642636	official_symbol:RAD21L1
og_00000178	entrez_gi:5356	official_symbol:PLRG1
og_00000179	entrez_gi:285641	official_symbol:SLC36A3
og_00000180	entrez_gi:1163	official_symbol:CKS1B
og_00000181	entrez_gi:206358	official_symbol:SLC36A1
og_00000182	entrez_gi:6767	official_symbol:ST13
